link,ua_names,uk_names
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%BE%D0%B3%D0%BD%D0%B5%D0%B7%D1%96%D1%80,Рудько,Rusty
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%BE%D0%B3%D0%BD%D0%B5%D0%B7%D1%96%D1%80,Вогнелап,Firepaw
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%BE%D0%B3%D0%BD%D0%B5%D0%B7%D1%96%D1%80,Вогнесерд,Fireheart
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%BE%D0%B3%D0%BD%D0%B5%D0%B7%D1%96%D1%80,Вогнезір,Firestar
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D0%B8%D0%BD%D1%8C%D0%BE%D0%B7%D1%96%D1%80%D0%BA%D0%B0,Синютка,Bluekit
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D0%B8%D0%BD%D1%8C%D0%BE%D0%B7%D1%96%D1%80%D0%BA%D0%B0,Синьолапка,Bluepaw
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D0%B8%D0%BD%D1%8C%D0%BE%D0%B7%D1%96%D1%80%D0%BA%D0%B0,Синьошубка,Bluefur
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D0%B8%D0%BD%D1%8C%D0%BE%D0%B7%D1%96%D1%80%D0%BA%D0%B0,Синьозірка,Bluestar
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D0%BE%D0%B9%D0%BA%D0%BE%D0%BF%D0%B5%D1%80,Сойко,Jaykit
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D0%BE%D0%B9%D0%BA%D0%BE%D0%BF%D0%B5%D1%80,Сойколап,Jaypaw
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D0%BE%D0%B9%D0%BA%D0%BE%D0%BF%D0%B5%D1%80,Сойкопер,Jayfeather
https://uawarriors.fandom.com/uk/wiki/%D0%9F%D0%B0%D0%B4%D1%83%D0%B1%D0%BE%D0%BB%D0%B8%D1%81%D1%82%D0%BA%D0%B0,Падубка,Hollykit
https://uawarriors.fandom.com/uk/wiki/%D0%9F%D0%B0%D0%B4%D1%83%D0%B1%D0%BE%D0%BB%D0%B8%D1%81%D1%82%D0%BA%D0%B0,Падуболапка,Hollypaw
https://uawarriors.fandom.com/uk/wiki/%D0%9F%D0%B0%D0%B4%D1%83%D0%B1%D0%BE%D0%BB%D0%B8%D1%81%D1%82%D0%BA%D0%B0,Падуболистка,Hollyleaf
https://uawarriors.fandom.com/uk/wiki/%D0%9B%D0%B5%D0%B2%D0%BE%D0%B6%D0%B0%D1%80,Левко,Lionkit
https://uawarriors.fandom.com/uk/wiki/%D0%9B%D0%B5%D0%B2%D0%BE%D0%B6%D0%B0%D1%80,Леволап,Lionpaw
https://uawarriors.fandom.com/uk/wiki/%D0%9B%D0%B5%D0%B2%D0%BE%D0%B6%D0%B0%D1%80,Левожар,Lionblaze
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D1%96%D1%80%D0%BE%D1%81%D0%BC%D1%83%D0%B3,Сіролап,Graypaw
https://uawarriors.fandom.com/uk/wiki/%D0%A1%D1%96%D1%80%D0%BE%D1%81%D0%BC%D1%83%D0%B3,Сіросмуг,Graystripe
https://uawarriors.fandom.com/uk/wiki/%D0%9F%D0%BE%D0%BF%D0%B5%D0%BB%D1%8E%D1%88%D0%BA%D0%B0,Попелапка,Cinderpaw
https://uawarriors.fandom.com/uk/wiki/%D0%9F%D0%BE%D0%BF%D0%B5%D0%BB%D1%8E%D1%88%D0%BA%D0%B0,Попелюшка,Cinderpelt
https://uawarriors.fandom.com/uk/wiki/%D0%9E%D0%B6%D0%B8%D0%BD%D0%BE%D0%BA%D1%96%D0%B3%D0%BE%D1%82%D1%8C,Ожинко,Bramblekit
https://uawarriors.fandom.com/uk/wiki/%D0%9E%D0%B6%D0%B8%D0%BD%D0%BE%D0%BA%D1%96%D0%B3%D0%BE%D1%82%D1%8C,Ожинолап,Bramblepaw
https://uawarriors.fandom.com/uk/wiki/%D0%9E%D0%B6%D0%B8%D0%BD%D0%BE%D0%BA%D1%96%D0%B3%D0%BE%D1%82%D1%8C,Ожинокіготь,Brambleclaw
https://uawarriors.fandom.com/uk/wiki/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%BF%D0%BB%D0%B5%D1%81%D0%B0,Листинка,Leafkit
https://uawarriors.fandom.com/uk/wiki/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%BF%D0%BB%D0%B5%D1%81%D0%B0,Листолапка,Leafpaw
https://uawarriors.fandom.com/uk/wiki/%D0%9B%D0%B8%D1%81%D1%82%D0%BE%D0%BF%D0%BB%D0%B5%D1%81%D0%B0,Листоплеса,Leafpool
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B8%D0%B2%D1%96%D1%80%D0%BA%D0%BE%D1%81%D1%82%D1%80%D0%B8%D0%B1%D0%BA%D0%B0,Вивірка,Squirrelkit
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B8%D0%B2%D1%96%D1%80%D0%BA%D0%BE%D1%81%D1%82%D1%80%D0%B8%D0%B1%D0%BA%D0%B0,Вивірколапка,Squirrelpaw
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B8%D0%B2%D1%96%D1%80%D0%BA%D0%BE%D1%81%D1%82%D1%80%D0%B8%D0%B1%D0%BA%D0%B0,Вивіркострибка,Squirrelflight
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B8%D1%81%D0%BE%D0%BA%D0%BE%D0%B7%D0%BE%D1%80%D0%B8%D0%B9,Високолап,Tallpaw
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B8%D1%81%D0%BE%D0%BA%D0%BE%D0%B7%D0%BE%D1%80%D0%B8%D0%B9,Високохвіст,Talltail
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B8%D1%81%D0%BE%D0%BA%D0%BE%D0%B7%D0%BE%D1%80%D0%B8%D0%B9,Високозорий,Тallstar
https://uawarriors.fandom.com/uk/wiki/%D0%9E%D0%B4%D0%BD%D0%BE%D0%B7%D1%96%D1%80,Одновус,Onewhisker
https://uawarriors.fandom.com/uk/wiki/%D0%9E%D0%B4%D0%BD%D0%BE%D0%B7%D1%96%D1%80,Однозір,Onestar
https://uawarriors.fandom.com/uk/wiki/%D0%91%D0%B0%D0%B3%D0%BD%D0%BE%D0%BA%D1%96%D0%B3%D0%BE%D1%82%D1%8C,Багнокіготь,Mudclaw
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%BE%D0%BA%D1%80%D0%B8%D0%BB,Воронолап,Crowpaw
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%BE%D0%BA%D1%80%D0%B8%D0%BB,Воронокрил,Сrowfeather
https://uawarriors.fandom.com/uk/wiki/%D0%9A%D0%BE%D1%80%D0%BE%D0%BC%D0%BE%D1%80%D0%B4,Короморд,Barkface
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D0%B7%D1%96%D1%80%D0%BA%D0%B0,Вересозірка,Heatherstar
https://uawarriors.fandom.com/uk/wiki/%D0%92%D1%96%D1%82%D1%80%D0%BE%D0%B7%D0%BE%D1%80%D0%B0,Вітер,Wind
https://uawarriors.fandom.com/uk/wiki/%D0%92%D1%96%D1%82%D1%80%D0%BE%D0%B7%D0%BE%D1%80%D0%B0,Вітрозора,Windstar
https://uawarriors.fandom.com/uk/wiki/%D0%97%D0%BE%D0%BB%D0%BE%D0%BD%D1%96%D0%B6%D0%BA%D0%B0,Золоніжка,Ashfoot
https://uawarriors.fandom.com/uk/wiki/%D0%91%D1%80%D0%B8%D0%B7%D0%BE%D1%88%D1%83%D0%B1,Бризолап,Breezepaw
https://uawarriors.fandom.com/uk/wiki/%D0%91%D1%80%D0%B8%D0%B7%D0%BE%D1%88%D1%83%D0%B1,Бризошуб,Breezepelt
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D1%85%D0%B2%D1%96%D1%81%D1%82%D0%BA%D0%B0,Вереска,Heatherkit
https://uawarriors.fandom.com/uk/wiki/%D0%92%D0%B5%D1%80%D0%B5%D1%81%D0%BE%D1%85%D0%B2%D1%96%D1%81%D1%82%D0%BA%D0%B0,Вересохвістка,Heatherpaw
